index,Glider,Wheels,Chassis,Driver,WG,AC,ON,OF,MT,SL,SW,SA,SG,TL,TW,TA,TG,IV,Body,Total
196802,Wario Wing,"GLA Tires
GLA Wheels",Tanooki Kart,"Rosalina
Rst",14.0,8.0,17.0,15.0,12.0,14.0,15.0,14.0,16.0,11.0,11.0,9.0,10.0,14.0,0.0,180.0
196814,Paraglider,"GLA Tires
GLA Wheels",Tanooki Kart,"Rosalina
Rst",14.0,8.0,17.0,15.0,12.0,14.0,15.0,14.0,16.0,11.0,11.0,9.0,10.0,14.0,0.0,180.0
196811,Gold Glider,"GLA Tires
GLA Wheels",Tanooki Kart,"Rosalina
Rst",14.0,8.0,17.0,15.0,12.0,14.0,15.0,14.0,16.0,11.0,11.0,9.0,10.0,14.0,0.0,180.0
196809,Plane Glider,"GLA Tires
GLA Wheels",Tanooki Kart,"Rosalina
Rst",14.0,8.0,17.0,15.0,12.0,14.0,15.0,14.0,16.0,11.0,11.0,9.0,10.0,14.0,0.0,180.0
196813,Paper Glider,"GLA Tires
GLA Wheels",Tanooki Kart,"Rosalina
Rst",12.0,9.0,16.0,16.0,13.0,13.0,16.0,14.0,15.0,11.0,10.0,10.0,11.0,13.0,0.0,179.0
196574,Paraglider,Slim,Tanooki Kart,"Rosalina
Rst",14.0,6.0,19.0,11.0,11.0,15.0,14.0,16.0,15.0,12.0,12.0,9.0,11.0,14.0,0.0,179.0
196571,Gold Glider,Slim,Tanooki Kart,"Rosalina
Rst",14.0,6.0,19.0,11.0,11.0,15.0,14.0,16.0,15.0,12.0,12.0,9.0,11.0,14.0,0.0,179.0
196569,Plane Glider,Slim,Tanooki Kart,"Rosalina
Rst",14.0,6.0,19.0,11.0,11.0,15.0,14.0,16.0,15.0,12.0,12.0,9.0,11.0,14.0,0.0,179.0
196562,Wario Wing,Slim,Tanooki Kart,"Rosalina
Rst",14.0,6.0,19.0,11.0,11.0,15.0,14.0,16.0,15.0,12.0,12.0,9.0,11.0,14.0,0.0,179.0
196526,Paraglider,"Standard
Normal",Tanooki Kart,"Rosalina
Rst",14.0,8.0,17.0,15.0,12.0,14.0,15.0,14.0,16.0,11.0,11.0,9.0,10.0,13.0,0.0,179.0
